Date,oil_price,Inflation Rate,uncertain_rate,election Weight,Government_Change,Party_In_Office,DXY_Close
2005/11/1,55.44954545,3.5,72,0,0,1,91.57
2005/12/1,57.15681818,3.4,78,0,0,1,91.169998
2006/1/1,63.31181818,4,79,0,0,1,88.959999
2006/2/1,60.8055,3.6,73,0,0,1,90.110001
2006/3/1,62.74695652,3.4,64,0,0,1,89.730003
2006/4/1,70.34,3.5,80,0,0,1,86.110001
2006/5/1,70.51,4.2,71,0,0,1,84.720001
2006/6/1,69.23272727,4.3,79,0,0,1,85.220001
2006/7/1,74.04095238,4.1,81,0,0,1,85.300003
2006/8/1,73.50043478,3.8,73,0,0,1,85.050003
2006/9/1,62.52714286,2.1,67,0,0,1,85.970001
2006/10/1,58.75818182,1.3,63,0,0,1,85.32
2006/11/1,59.22272727,2,63,0,0,1,82.919998
2006/12/1,62.26047619,2.5,63,0,0,1,83.720001
2007/1/1,54.50304348,2.1,79,0,0,1,84.610001
2007/2/1,57.9695,2.4,57,0,0,1,83.57
2007/3/1,62.35727273,2.8,70,0,0,1,82.93
2007/4/1,67.69047619,2.6,63,0,0,1,81.449997
2007/5/1,67.71782609,2.7,75,0,0,1,82.300003
2007/6/1,70.61904762,2.7,73,0,0,1,81.919998
2007/7/1,76.13318182,2.4,59,0,0,1,80.769997
2007/8/1,71.31304348,2,89,0,0,1,80.790001
2007/9/1,76.772,2.8,101,0,0,1,77.720001
2007/10/1,82.5073913,3.5,89,0,0,1,76.480003
2007/11/1,92.73136364,4.3,102,0,0,1,76.150002
2007/12/1,91.51952381,4.1,109,0,0,1,76.699997
2008/1/1,92.09173913,4.3,145,0,0,1,75.18
2008/2/1,94.72238095,4,108,0,0,1,73.709999
2008/3/1,103.1619048,4,112,0,0,1,71.800003
2008/4/1,110.0331818,3.9,102,0,0,1,72.510002
2008/5/1,123.8622727,4.2,94,0,0,1,72.879997
2008/6/1,132.7604762,5,95,0,0,1,72.459999
2008/7/1,133.5852174,5.6,110,0,0,1,73.230003
2008/8/1,113.8004762,5.4,96,0.25,0,1,77.379997
2008/9/1,98.75545455,4.9,188,0.5,0,1,79.449997
2008/10/1,71.96347826,3.7,190,0.75,0,1,85.629997
2008/11/1,52.7135,1.1,149,1,0,1,86.519997
2008/12/1,40.51173913,0.1,146,0.75,0,1,81.309998
2009/1/1,43.17454545,0,172,0.6,0,0,86
2009/2/1,42.9105,0.2,187,0.5,0,0,88.010002
2009/3/1,46.58272727,-0.4,167,0.4,0,0,85.43
2009/4/1,50.51909091,-0.7,132,0.3,0,0,84.610001
2009/5/1,57.50142857,-1.3,139,0.2,0,0,80.43
2009/6/1,68.58,-1.4,131,0,0,0,80.129997
2009/7/1,64.90434783,-2.1,126,0,0,0,78.349998
2009/8/1,72.59190476,-1.5,153,0,0,0,78.169998
2009/9/1,67.51318182,-1.3,145,0,0,0,76.650002
2009/10/1,72.96863636,-0.2,138,0,0,0,76.300003
2009/11/1,76.93666667,1.8,116,0,0,0,74.879997
2009/12/1,74.78956522,2.7,121,0,0,0,77.860001
2010/1/1,76.60238095,2.6,149,0,0,0,79.459999
2010/2/1,73.903,2.1,133,0,0,0,80.360001
2010/3/1,79.51913043,2.3,137,0,0,0,81.07
2010/4/1,85.15636364,2.2,137,0,0,0,81.870003
2010/5/1,76.13238095,2,151,0,0,0,86.589996
2010/6/1,75.24636364,1.1,141,0,0,0,86.019997
2010/7/1,75.195,1.2,180,0,0,0,81.540001
2010/8/1,76.89181818,1.1,147,0,0,0,83.199997
2010/9/1,77.93818182,1.1,182,0,0,0,78.720001
2010/10/1,83.33857143,1.2,163,0,0,0,77.269997
2010/11/1,85.80090909,1.1,179,0,0,0,81.199997
2010/12/1,91.96,1.5,165,0,0,0,79.029999
2011/1/1,96.95238095,1.6,142,0,0,0,77.739998
2011/2/1,104.2385,2.1,146,0,0,0,76.889999
2011/3/1,114.9173913,2.7,174,0,0,0,75.860001
2011/4/1,123.3257143,3.2,157,0,0,0,72.93
2011/5/1,114.9295455,3.6,126,0,0,0,74.639999
2011/6/1,114.3704545,3.6,158,0,0,0,74.300003
2011/7/1,117.4833333,3.6,198,0,0,0,73.900002
2011/8/1,110.3547826,3.8,245,0,0,0,74.129997
2011/9/1,111.9627273,3.9,205,0,0,0,78.550003
2011/10/1,110.4295238,3.5,160,0,0,0,76.169998
2011/11/1,111.1586364,3.4,166,0,0,0,78.389999
2011/12/1,108.3477273,3,189,0,0,0,80.169998
2012/1/1,111.415,2.9,178,0,0,0,79.279999
2012/2/1,119.1657143,2.9,150,0,0,0,78.730003
2012/3/1,124.7031818,2.7,138,0,0,0,78.93
2012/4/1,120.47,2.3,137,0,0,0,78.790001
2012/5/1,110.8221739,1.7,159,0,0,0,83.040001
